2026-07-07 16:42:08 | INFO | [用户认证] [登录] user=USER002 | url= | 用户 dept_admin 登录成功
2026-07-07 16:42:08 | INFO | [用户认证] [登录] user= | url= | 用户 dept_admin 登录成功
2026-07-07 16:42:08 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 16:42:08 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 19:51:54 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 19:52:01 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 19:52:01 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 19:52:15 | INFO | [权限管理] [查询] user=USER001 | url= | 查询用户权限列表
2026-07-07 19:52:44 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 19:54:31 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 19:55:05 | INFO | [用户认证] [登录] user=USER003 | url= | 用户 teacher 登录成功
2026-07-07 19:55:05 | INFO | [用户认证] [登录] user= | url= | 用户 teacher 登录成功
2026-07-07 19:55:05 | INFO | [权限管理] [查询] user=USER003 | url= | 查询用户权限列表
2026-07-07 19:55:05 | INFO | [权限管理] [查询] user=USER003 | url= | 查询用户权限列表
2026-07-07 19:55:28 | INFO | [流程审批] [报废申请] user=USER003 | url= | 申请报废资产 AST_437CE98421E146A0
2026-07-07 19:56:27 | INFO | [用户认证] [登录] user=USER002 | url= | 用户 dept_admin 登录成功
2026-07-07 19:56:27 | INFO | [用户认证] [登录] user= | url= | 用户 dept_admin 登录成功
2026-07-07 19:56:27 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 19:56:27 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 20:03:24 | INFO | [权限管理] [查询] user=USER002 | url= | 查询用户权限列表
2026-07-07 20:03:32 | INFO | [流程审批] [学院初审] user=USER002 | url= | 流程 4106b4a1874d4c888d45d0daab5dcbe9 初审 REJECT
2026-07-07 20:03:48 | INFO | [用户认证] [登录] user=USER003 | url= | 用户 teacher 登录成功
2026-07-07 20:03:48 | INFO | [用户认证] [登录] user= | url= | 用户 teacher 登录成功
2026-07-07 20:03:48 | INFO | [权限管理] [查询] user=USER003 | url= | 查询用户权限列表
2026-07-07 20:03:48 | INFO | [权限管理] [查询] user=USER003 | url= | 查询用户权限列表
2026-07-07 20:04:35 | INFO | [用户认证] [登录] user=USER004 | url= | 用户 student 登录成功
2026-07-07 20:04:35 | INFO | [用户认证] [登录] user= | url= | 用户 student 登录成功
2026-07-07 20:04:35 | INFO | [权限管理] [查询] user=USER004 | url= | 查询用户权限列表
2026-07-07 20:04:35 | INFO | [权限管理] [查询] user=USER004 | url= | 查询用户权限列表
2026-07-07 20:13:09 | INFO | [用户认证] [登录] user=USER003 | url= | 用户 teacher 登录成功
2026-07-07 20:13:09 | INFO | [用户认证] [登录] user= | url= | 用户 teacher 登录成功
2026-07-07 20:13:09 | INFO | [权限管理] [查询] user=USER003 | url= | 查询用户权限列表
2026-07-07 20:13:09 | INFO | [权限管理] [查询] user=USER003 | url= | 查询用户权限列表
